25 20
#############
#...........#    ########
#...s.k.s...######......#
#.....$.....d...........#
#...........######......#
#.....s.....#    #...h..#
#...........#    #......#
#........w..#    #......#
#####oo######    ##....##
    #..#           #...#
    #..#            #s#
    #..#          ##...#
  ###..####      #......#
  #.......#      #......#
  #.......#      #......#
  #...@..h#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #...l..#
  #########       ######
