25 20
#############
#...........#    ########
#...s...s...######......#
#.....$.....d...........#
#.....t.....######......#
#.....s.....#    #...h..#
#...........#    #......#
#........w..#    #......#
#####oo######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #......h#      #......#
  #.......#      #......#
  #...$...#      #......#
  #......l#      #......#
  #########       ######
